Election ID,LGA,Ward,Ward ID,Error
6a35c3e587b1768452f7b027,WARAWA,TAMBURAWAR GABAS,5f0f3cf28f77bb3acad0a00e,400 Client Error: Bad Request for url: https://dolphin-app-sleqh.ondigitalocean.app/api/v1/elections/6a35c3e587b1768452f7b027/pus?ward=5f0f3cf28f77bb3acad0a00e
6a35c3e587b1768452f7b027,WARAWA,AMARAWA,5f0f3cf18f77bb3acad0a004,400 Client Error: Bad Request for url: https://dolphin-app-sleqh.ondigitalocean.app/api/v1/elections/6a35c3e587b1768452f7b027/pus?ward=5f0f3cf18f77bb3acad0a004
6a35c3e587b1768452f7b027,DAWAKI KUDU,JIDO,5f0f3cba8f77bb3acad09e97,400 Client Error: Bad Request for url: https://dolphin-app-sleqh.ondigitalocean.app/api/v1/elections/6a35c3e587b1768452f7b027/pus?ward=5f0f3cba8f77bb3acad09e97
6a35c3e587b1768452f7b027,DAWAKI KUDU,ZOGARAWA,5f0f3cbb8f77bb3acad09e9e,400 Client Error: Bad Request for url: https://dolphin-app-sleqh.ondigitalocean.app/api/v1/elections/6a35c3e587b1768452f7b027/pus?ward=5f0f3cbb8f77bb3acad09e9e
6a35c3e587b1768452f7b027,DAWAKI KUDU,GURJIYA,5f0f3cba8f77bb3acad09e96,400 Client Error: Bad Request for url: https://dolphin-app-sleqh.ondigitalocean.app/api/v1/elections/6a35c3e587b1768452f7b027/pus?ward=5f0f3cba8f77bb3acad09e96
6a35c3e587b1768452f7b027,DAWAKI KUDU,DAWAKIJI,5f0f3cba8f77bb3acad09e93,400 Client Error: Bad Request for url: https://dolphin-app-sleqh.ondigitalocean.app/api/v1/elections/6a35c3e587b1768452f7b027/pus?ward=5f0f3cba8f77bb3acad09e93
6a35c3e587b1768452f7b027,DAWAKI KUDU,DABAR KWARI,5f0f3cb98f77bb3acad09e90,400 Client Error: Bad Request for url: https://dolphin-app-sleqh.ondigitalocean.app/api/v1/elections/6a35c3e587b1768452f7b027/pus?ward=5f0f3cb98f77bb3acad09e90
6a35c3e587b1768452f7b027,DAWAKI KUDU,YANBARAU,5f0f3cbb8f77bb3acad09e9b,400 Client Error: Bad Request for url: https://dolphin-app-sleqh.ondigitalocean.app/api/v1/elections/6a35c3e587b1768452f7b027/pus?ward=5f0f3cbb8f77bb3acad09e9b
6a35c3e587b1768452f7b027,DAWAKI KUDU,DANBAGIWA,5f0f3cb98f77bb3acad09e91,400 Client Error: Bad Request for url: https://dolphin-app-sleqh.ondigitalocean.app/api/v1/elections/6a35c3e587b1768452f7b027/pus?ward=5f0f3cb98f77bb3acad09e91
6a35c3e587b1768452f7b027,DAWAKI KUDU,DOSAN,5f0f3cba8f77bb3acad09e94,400 Client Error: Bad Request for url: https://dolphin-app-sleqh.ondigitalocean.app/api/v1/elections/6a35c3e587b1768452f7b027/pus?ward=5f0f3cba8f77bb3acad09e94
6a35c3e587b1768452f7b027,DAWAKI KUDU,YANKATSARI,5f0f3cbb8f77bb3acad09e9c,400 Client Error: Bad Request for url: https://dolphin-app-sleqh.ondigitalocean.app/api/v1/elections/6a35c3e587b1768452f7b027/pus?ward=5f0f3cbb8f77bb3acad09e9c
6a35c3e587b1768452f7b027,DAWAKI KUDU,TAMBURAWA,5f0f3cba8f77bb3acad09e98,400 Client Error: Bad Request for url: https://dolphin-app-sleqh.ondigitalocean.app/api/v1/elections/6a35c3e587b1768452f7b027/pus?ward=5f0f3cba8f77bb3acad09e98
6a35c3e587b1768452f7b027,DAWAKI KUDU,GANO,5f0f3cba8f77bb3acad09e95,400 Client Error: Bad Request for url: https://dolphin-app-sleqh.ondigitalocean.app/api/v1/elections/6a35c3e587b1768452f7b027/pus?ward=5f0f3cba8f77bb3acad09e95
6a35c3e587b1768452f7b027,DAWAKI KUDU,UNGUWAR DUNIYA,5f0f3cbb8f77bb3acad09e9a,400 Client Error: Bad Request for url: https://dolphin-app-sleqh.ondigitalocean.app/api/v1/elections/6a35c3e587b1768452f7b027/pus?ward=5f0f3cbb8f77bb3acad09e9a
6a35c3e587b1768452f7b027,DAWAKI KUDU,TSAKUWA,5f0f3cbb8f77bb3acad09e99,400 Client Error: Bad Request for url: https://dolphin-app-sleqh.ondigitalocean.app/api/v1/elections/6a35c3e587b1768452f7b027/pus?ward=5f0f3cbb8f77bb3acad09e99
6a35c3e587b1768452f7b027,DAWAKI KUDU,DAWAKI,5f0f3cba8f77bb3acad09e92,400 Client Error: Bad Request for url: https://dolphin-app-sleqh.ondigitalocean.app/api/v1/elections/6a35c3e587b1768452f7b027/pus?ward=5f0f3cba8f77bb3acad09e92
6a35c3e587b1768452f7b027,DAWAKI KUDU,YARGAYA,5f0f3cbb8f77bb3acad09e9d,400 Client Error: Bad Request for url: https://dolphin-app-sleqh.ondigitalocean.app/api/v1/elections/6a35c3e587b1768452f7b027/pus?ward=5f0f3cbb8f77bb3acad09e9d
