LGA,Election ID,Ward,Ward ID,Ward Code
MUNICIPAL,699824ea5e30c3dcf4748623,GARKI,5f0f3c1c8f77bb3acad09a6d,02
MUNICIPAL,699824ea5e30c3dcf4748623,GUI,5f0f3c1c8f77bb3acad09a72,07
MUNICIPAL,699824ea5e30c3dcf4748623,OROZO,5f0f3c1d8f77bb3acad09a74,09
MUNICIPAL,699824ea5e30c3dcf4748623,KARU,5f0f3c1d8f77bb3acad09a75,10
MUNICIPAL,699824ea5e30c3dcf4748623,KARSHI,5f0f3c1d8f77bb3acad09a73,08
MUNICIPAL,699824ea5e30c3dcf4748623,JIWA,5f0f3c1c8f77bb3acad09a71,06
MUNICIPAL,699824ea5e30c3dcf4748623,GWAGWA,5f0f3c1d8f77bb3acad09a77,12
MUNICIPAL,699824ea5e30c3dcf4748623,GWARINPA,5f0f3c1c8f77bb3acad09a70,05
MUNICIPAL,699824ea5e30c3dcf4748623,KABUSA,5f0f3c1c8f77bb3acad09a6e,03
MUNICIPAL,699824ea5e30c3dcf4748623,CITY CENTRE,5f0f3c1c8f77bb3acad09a6c,01
MUNICIPAL,699824ea5e30c3dcf4748623,NYANYA,5f0f3c1d8f77bb3acad09a76,11
MUNICIPAL,699824ea5e30c3dcf4748623,WUSE,5f0f3c1c8f77bb3acad09a6f,04
KWALI,699824bf40728bdc366f87e2,GUMBO,5f0f3c1b8f77bb3acad09a69,08
KWALI,699824bf40728bdc366f87e2,DAFA,5f0f3c1b8f77bb3acad09a66,05
KWALI,699824bf40728bdc366f87e2,YANGOJI,5f0f3c1a8f77bb3acad09a63,02
KWALI,699824bf40728bdc366f87e2,KILANKWA,5f0f3c1b8f77bb3acad09a65,04
KWALI,699824bf40728bdc366f87e2,KUNDU,5f0f3c1b8f77bb3acad09a67,06
KWALI,699824bf40728bdc366f87e2,ASHARA,5f0f3c1b8f77bb3acad09a68,07
KWALI,699824bf40728bdc366f87e2,YEBU,5f0f3c1c8f77bb3acad09a6b,10
KWALI,699824bf40728bdc366f87e2,PAI,5f0f3c1b8f77bb3acad09a64,03
KWALI,699824bf40728bdc366f87e2,KWALI WARD,5f0f3c1a8f77bb3acad09a62,01
KWALI,699824bf40728bdc366f87e2,WAKO,5f0f3c1b8f77bb3acad09a6a,09
GWAGWALADA,699824519b43a9dac5181864,PAIKO,5f0f3c188f77bb3acad09a53,06
GWAGWALADA,699824519b43a9dac5181864,IBWA,5f0f3c188f77bb3acad09a51,04
GWAGWALADA,699824519b43a9dac5181864,GWAKO,5f0f3c198f77bb3acad09a57,10
GWAGWALADA,699824519b43a9dac5181864,TUNGAN MAJE,5f0f3c188f77bb3acad09a54,07
GWAGWALADA,699824519b43a9dac5181864,ZUBA,5f0f3c188f77bb3acad09a55,08
GWAGWALADA,699824519b43a9dac5181864,IKWA,5f0f3c198f77bb3acad09a56,09
GWAGWALADA,699824519b43a9dac5181864,KUTUNKU,5f0f3c188f77bb3acad09a4f,02
GWAGWALADA,699824519b43a9dac5181864,GWAGWALADA CENTRE,5f0f3c178f77bb3acad09a4e,01
GWAGWALADA,699824519b43a9dac5181864,DOBI,5f0f3c188f77bb3acad09a52,05
GWAGWALADA,699824519b43a9dac5181864,STAFF QUARTERS,5f0f3c188f77bb3acad09a50,03
ABAJI,699823817f928ed7ee3bcfb5,ABAJI CENTRAL,5f0f3c158f77bb3acad09a3a,01
ABAJI,699823817f928ed7ee3bcfb5,GAWU,5f0f3c168f77bb3acad09a43,10
ABAJI,699823817f928ed7ee3bcfb5,ALU MAMAGI,5f0f3c158f77bb3acad09a40,07
ABAJI,699823817f928ed7ee3bcfb5,NUKU,5f0f3c158f77bb3acad09a3f,06
ABAJI,699823817f928ed7ee3bcfb5,ABAJI SOUTH EAST,5f0f3c158f77bb3acad09a3c,03
ABAJI,699823817f928ed7ee3bcfb5,YABA,5f0f3c168f77bb3acad09a41,08
ABAJI,699823817f928ed7ee3bcfb5,ABAJI NORTH EAST,5f0f3c158f77bb3acad09a3b,02
ABAJI,699823817f928ed7ee3bcfb5,RIMBA EBAGI,5f0f3c158f77bb3acad09a3e,05
ABAJI,699823817f928ed7ee3bcfb5,GURDI,5f0f3c168f77bb3acad09a42,09
ABAJI,699823817f928ed7ee3bcfb5,AGYANA/PANDAGI,5f0f3c158f77bb3acad09a3d,04
